domain_name,Carleton_response_addresses,Google_response_addresses,TTL_Carleton,TTL_Google
chatgpt.com.,172.64.155.209 104.18.32.47,172.64.155.209 104.18.32.47,174,167
geomobileservices-pa.googleapis.com.,142.250.191.138 172.217.2.42 142.251.34.234 142.250.191.202 142.250.190.138 142.250.190.42 142.250.190.106 172.217.1.106 142.250.191.170 172.217.4.202 142.251.32.10 142.250.191.234 172.217.5.10 172.217.4.74 142.250.190.10 142.250.191.106,172.217.1.106 142.250.190.106 142.250.191.234 172.217.5.10 172.217.4.202 172.217.2.42 142.250.190.10 142.251.34.234 142.250.191.106 142.250.191.170 142.250.190.138 142.250.191.138 142.250.190.74 142.251.32.10 142.250.191.202 142.250.190.42,167,300
heytapdl.com.,,,-1,-1
bidswitch.net.,34.160.122.192,34.160.122.192,120,29
smartadserver.com.,34.160.41.36,34.160.41.36,466,128
tiktokpangle.us.,,,-1,-1
trafficmanager.net.,,,-1,-1
baidu.com.,220.181.7.203 39.156.70.113,39.156.70.113 220.181.7.203,467,332
instantmessaging-pa.googleapis.com.,216.239.34.223 216.239.32.223 216.239.36.223 216.239.38.223,216.239.34.223 216.239.36.223 216.239.32.223 216.239.38.223,268,300
locationhistory-pa.googleapis.com.,142.250.190.106 142.250.191.106 142.251.32.10 142.250.190.42 172.217.4.74 142.250.190.138 142.250.190.74 172.217.1.106 142.251.34.234 142.250.190.10 172.217.4.202 142.250.191.170 172.217.2.42 142.250.191.202 142.250.191.234 172.217.5.10,142.250.191.138 172.217.1.106 142.250.190.42 172.217.4.74 172.217.5.10 142.250.191.202 142.250.190.10 142.250.190.138 142.250.191.106 142.250.190.106 172.217.2.42 142.250.191.234 142.251.32.10 142.250.191.170 142.251.34.234 142.250.190.74,257,300
azure.net.,20.231.239.246 20.70.246.20 20.112.250.133 20.76.201.171 20.236.44.162,20.231.239.246 20.76.201.171 20.70.246.20 20.112.250.133 20.236.44.162,3467,1546
doubleverify.com.,199.60.103.65 199.60.103.165,199.60.103.65 199.60.103.165,767,293
capcutapi.com.,,,-1,-1
samsungapps.com.,213.71.30.154,213.71.30.154,168,300
amp-endpoint3.com.,,,-1,-1
creativecdn.com.,185.184.8.90,185.184.8.90,241,268
accountcapabilities-pa.googleapis.com.,172.217.1.106 142.250.190.10 142.250.190.42 142.250.191.234 142.250.191.106 142.251.32.10 142.250.191.202 142.250.190.106 172.217.5.10 142.250.191.138 172.217.4.202 172.217.2.42 142.250.190.138 142.251.34.234 172.217.4.42 142.250.190.74,172.217.2.42 142.250.190.106 142.250.191.234 172.217.4.202 142.250.191.138 142.251.32.10 172.217.4.42 172.217.1.106 142.250.190.42 142.250.190.10 142.250.191.202 142.250.190.138 142.250.191.106 172.217.5.10 142.250.190.74 142.250.191.170,110,300
everesttech.net.,208.91.169.4,208.91.169.4,167,300
resolver.arpa.,,,-1,-1
3lift.com.,99.84.203.58 99.84.203.115 99.84.203.126 99.84.203.5,99.84.203.58 99.84.203.5 99.84.203.115 99.84.203.126,60,60
gmail.com.,142.250.190.101,142.251.32.5,77,300
amp-endpoint2.com.,,,-1,-1
cloudflareinsights.com.,104.16.80.73 104.16.79.73,104.16.79.73 104.16.80.73,168,300
aliyun.com.,140.205.60.46 140.205.135.3 106.11.248.146 106.11.253.83 106.11.172.9 106.11.249.99,140.205.135.3 106.11.172.9 106.11.253.83 106.11.248.146 140.205.60.46 106.11.249.99,167,300
msauth.net.,,,-1,-1
outbrain.com.,151.101.130.132 151.101.194.132 151.101.2.132 151.101.66.132,151.101.194.132 151.101.2.132 151.101.66.132 151.101.130.132,168,300
footprints-pa.googleapis.com.,142.250.190.10 172.217.2.42 172.217.1.106 142.250.191.170 142.251.34.234 172.217.4.74 142.250.190.74 142.251.32.10 142.250.191.234 142.250.191.106 172.217.4.42 142.250.190.138 142.250.191.202 142.250.190.42 142.250.190.106 142.250.191.138,142.250.190.10 172.217.4.74 142.250.191.138 142.250.190.106 142.250.190.42 142.251.32.10 172.217.2.42 142.250.190.138 142.250.190.74 142.250.191.234 172.217.1.106 142.250.191.170 142.250.191.106 142.251.34.234 142.250.191.202,168,300
nr-data.net.,,,-1,-1
google.cn.,142.250.191.163,172.217.4.67,168,300
chromewebstore.googleapis.com.,142.250.191.202 142.250.191.106 172.217.2.42 142.250.191.234 142.250.190.106 142.251.34.234 142.250.190.10 142.250.190.42 172.217.1.106 142.250.190.138 142.251.32.10 172.217.4.74 142.250.191.138 142.250.191.170 142.250.190.74,172.217.4.42 172.217.5.10 142.250.190.42 142.250.191.106 142.250.190.138 142.250.191.234 172.217.1.106 142.250.190.74 142.250.191.202 142.250.190.10 172.217.4.202 142.250.191.138 172.217.4.74 142.251.32.10 142.250.190.106 172.217.2.42,77,300
launchdarkly.com.,3.33.186.135 15.197.167.90,3.33.186.135 15.197.167.90,60,21
oneget.org.,104.43.254.102,104.43.254.102,3469,2547
passwordsleakcheck-pa.googleapis.com.,142.250.191.138 172.217.1.106 172.217.4.202 142.250.191.106 142.250.190.106 142.251.32.10 142.250.190.10 142.250.191.170 142.250.191.202 142.250.190.138 142.250.190.42 142.250.190.74 172.217.4.42 142.250.191.234 172.217.4.74,172.217.4.42 142.250.190.74 142.250.190.138 142.250.190.42 172.217.4.74 172.217.5.10 142.250.191.106 172.217.4.202 172.217.2.42 142.251.34.234 142.250.191.202 142.250.190.106 142.251.32.10 142.250.191.138 172.217.1.106 142.250.190.10,300,300
android-context-data.googleapis.com.,142.250.190.10 142.251.32.10 142.250.190.42 142.250.190.74 142.250.191.106 142.250.191.138 172.217.1.106 142.251.34.234 142.250.191.170 142.250.190.138 142.250.191.202 172.217.5.10 142.250.191.234 142.250.190.106,172.217.4.74 172.217.2.42 142.251.32.10 142.250.190.42 142.250.191.202 142.250.191.106 142.250.190.138 142.250.190.106 142.251.34.234 172.217.4.42 142.250.190.74 142.250.191.170 142.250.191.234 142.250.190.10 142.250.191.138,294,300
browser-intake-datadoghq.com.,3.233.158.114 3.233.158.111 3.233.158.112,3.233.158.26 3.233.158.25 3.233.158.24,60,7
nearbysharing-pa.googleapis.com.,142.250.190.42 142.250.191.170 142.250.191.106 142.251.34.234 142.250.191.138 172.217.5.10 142.250.190.10 142.250.190.138 142.250.191.202 142.251.32.10 172.217.2.42 142.250.191.234 142.250.190.106 172.217.1.106 142.250.190.74,172.217.5.10 142.250.191.234 142.250.190.106 142.250.191.138 172.217.4.74 142.250.190.138 142.250.191.202 172.217.4.42 142.250.190.10 142.250.190.42 142.250.190.74 142.250.191.106 172.217.1.106 142.250.191.170 172.217.2.42 172.217.4.202,168,300
media.net.,23.41.168.23,23.41.168.23,5,5
id5-sync.com.,162.19.138.120 162.19.138.118 141.95.33.120 162.19.138.116 162.19.138.83 57.129.85.132 141.95.98.64 162.19.138.82 162.19.138.119 141.95.98.65 162.19.138.117,141.95.33.120 141.95.98.65 162.19.138.117 162.19.138.119 162.19.138.83 162.19.138.118 57.129.85.132 141.95.98.64 162.19.138.120 162.19.138.82 162.19.138.116,49,300
criteo.net.,,,-1,-1
line-scdn.net.,,,-1,-1
miui.com.,124.251.100.193,124.251.100.193,468,600
onesignal.com.,104.16.160.145 104.17.111.223,104.17.111.223 104.16.160.145,168,300
qq.com.cn.,0.0.0.1,0.0.0.1,469,600
opera.com.,185.26.182.103 185.26.182.104,185.26.182.103 185.26.182.104,469,92
adjust.com.,76.76.21.21,76.76.21.21,3469,3116
teads.tv.,3.251.49.224 52.16.157.210 34.255.42.71,3.251.49.224 52.16.157.210 34.255.42.71,60,60
mtgglobals.com.,,,-1,-1
crwdcntrl.net.,199.233.57.21 199.233.57.18 199.233.57.17 199.233.57.20 199.233.57.19 199.233.57.16,199.233.57.19 199.233.57.17 199.233.57.21 199.233.57.18 199.233.57.20 199.233.57.16,70242,21600
allawnos.com.,,,-1,-1
rlcdn.com.,,,-1,-1
shopee.io.,,,-1,-1
alicdn.com.,115.238.23.240 140.205.77.240,140.205.77.240 115.238.23.240,169,169
deviceintegritytokens-pa.googleapis.com.,172.217.2.42 142.250.191.138 142.250.191.106 142.251.32.10 142.251.34.234 142.250.191.202 172.217.4.74 142.250.191.170 142.250.190.10 142.250.190.138 142.250.190.74 172.217.1.106 142.250.190.42 142.250.191.234 142.250.190.106,142.250.191.106 142.250.191.234 172.217.2.42 142.251.34.234 142.250.191.138 142.250.190.106 142.250.190.10 142.250.190.74 142.250.191.202 172.217.4.42 142.250.191.170 142.250.190.138 142.251.32.10 142.250.190.42,129,300
360yield.com.,52.49.186.77 54.171.255.234 54.216.18.245,52.49.186.77 54.171.255.234 54.216.18.245,60,2
temu.com.,151.101.66.58 151.101.2.58,151.101.66.58 151.101.2.58,170,271
icloud-content.com.,17.253.142.4,17.253.142.4,3470,267
msftstatic.com.,204.79.197.200,204.79.197.200,3470,378
imasdk.googleapis.com.,142.250.190.106,142.251.32.10,127,300
moloco.com.,99.83.190.102 75.2.70.75,75.2.70.75 99.83.190.102,170,169
appsflyer.com.,54.224.150.238 34.235.58.165,34.235.58.165 54.224.150.238,60,60
adform.net.,37.157.5.86 37.157.5.49,37.157.5.87 37.157.4.29 37.157.5.84 37.157.5.132,169,300
yandex.net.,213.180.204.242,213.180.204.242,470,600
garena.com.,148.222.71.12,148.222.71.12,470,600
1rx.io.,,,-1,-1
userlocation.googleapis.com.,142.250.190.10 172.217.5.10 142.250.191.170 172.217.4.74 142.250.191.234 142.250.190.42 142.251.34.234 142.250.190.106 142.250.191.138 142.250.191.106 172.217.4.42 142.250.190.138 142.250.190.74 172.217.2.42 172.217.1.106 142.250.191.202,142.250.191.202 172.217.4.74 142.251.34.234 142.250.190.106 172.217.2.42 142.251.32.10 142.250.190.10 142.250.190.74 142.250.190.42 142.250.190.138 142.250.191.234 172.217.5.10 172.217.4.42 172.217.4.202 172.217.1.106 142.250.191.170,128,300
safebrowsingohttpgateway.googleapis.com.,142.250.191.234 142.250.191.202 172.217.1.106 142.250.190.106 142.250.190.74 142.250.191.170 142.250.191.138 142.250.190.10 142.250.190.138 142.250.190.42 142.251.34.234 172.217.2.42 142.250.191.106 142.251.32.10 172.217.4.202,142.250.190.10 172.217.4.202 172.217.1.106 172.217.5.10 142.250.191.202 142.251.32.10 142.250.191.170 142.250.190.138 142.250.191.234 142.250.191.138 172.217.4.42 142.250.190.42 142.250.191.106 172.217.4.74 142.250.190.74 142.250.190.106,146,300
root-servers.net.,,,-1,-1
shopee.sg.,147.136.172.151,147.136.172.151,60,60
webex.com.,144.196.130.69,144.196.130.69,170,6
wbx2.com.,13.59.223.207 13.59.223.204 13.59.223.206 13.59.223.205,13.59.223.205 13.59.223.206 13.59.223.207 13.59.223.204,60,22
bugsnag.com.,18.160.181.118 18.160.181.69 18.160.181.123 18.160.181.78,18.160.181.69 18.160.181.123 18.160.181.78 18.160.181.118,49,60
quantserve.com.,54.214.172.129 44.230.238.127 52.27.85.137,44.230.238.127 52.27.85.137 54.214.172.129,60,60
s-microsoft.com.,,,-1,-1
tapad.com.,34.96.66.233,34.96.66.233,170,300
alipay.com.,110.75.130.45 110.76.8.255,110.75.130.45 110.76.8.255,471,576
go-mpulse.net.,,,-1,-1
mediatek.com.,219.87.28.83,60.250.184.101,30,30
wechat.com.,43.155.124.49 43.154.240.170,43.154.240.170 43.155.124.49,170,152
byteoversea.net.,,,-1,-1
byteglb.com.,,,-1,-1
searchlabspartnerservice-pa.googleapis.com.,142.250.190.42 142.250.191.170 142.250.191.234 172.217.1.106 142.250.190.106 142.250.191.106 142.250.191.138 172.217.2.42 142.250.190.74 142.250.190.138 142.250.190.10 172.217.4.42 142.250.191.202 142.251.34.234 142.251.32.10,142.250.190.74 142.250.190.138 142.250.190.42 142.250.191.234 172.217.2.42 142.250.191.138 172.217.4.42 142.250.191.106 142.250.191.170 142.250.190.106 142.250.191.202 172.217.1.106 142.251.34.234 172.217.4.74 172.217.5.10 142.250.190.10,300,300
maps.googleapis.com.,142.250.191.138 142.251.34.234 172.217.4.74 172.217.2.42 142.250.191.202 142.250.190.138 142.250.191.106 142.250.190.10 142.250.191.234 172.217.5.10 142.250.190.42 142.250.190.74 142.250.190.106 172.217.1.106 142.251.32.10 142.250.191.170,172.217.4.42 142.251.32.10 142.250.191.234 142.250.190.42 172.217.5.10 142.250.191.138 172.217.2.42 172.217.1.106 142.250.191.106 142.250.190.138 142.250.190.106 142.250.191.170 172.217.4.74 142.250.190.74 142.250.190.10 142.250.191.202,11,300
app-analytics-services-att.com.,142.250.190.142,142.250.191.206,171,300
csp.withgoogle.com.,142.250.191.241,142.250.190.17,299,300
ipify.org.,104.26.13.205 104.26.12.205 172.67.74.152,104.26.13.205 172.67.74.152 104.26.12.205,171,171
notifications-ueeshp-pa.googleapis.com.,172.217.2.42 142.250.190.106 172.217.4.42 142.250.191.106 142.250.191.202 172.217.4.74 142.251.34.234 142.250.190.42 172.217.1.106 172.217.5.10 142.250.190.74 142.250.191.170 142.250.191.138 142.251.32.10 142.250.190.138 142.250.191.234,142.250.190.74 172.217.4.42 172.217.4.74 142.250.190.106 142.250.191.138 142.250.190.10 142.250.191.202 172.217.5.10 142.250.191.106 142.251.34.234 142.251.32.10 142.250.191.170 142.250.191.234 172.217.4.202 142.250.190.42 172.217.2.42,300,300
locationhistoryplacedetails-pa.googleapis.com.,142.250.190.42 142.250.191.106 142.251.34.234 172.217.4.202 142.250.191.138 142.250.191.234 172.217.2.42 142.250.190.10 142.250.191.170 172.217.1.106 142.250.190.138 142.250.191.202 142.250.190.74 172.217.5.10 142.250.190.106 172.217.4.42,142.250.190.42 172.217.5.10 142.250.191.202 142.250.191.138 142.250.191.234 142.250.190.10 172.217.4.74 172.217.2.42 142.250.190.138 142.251.34.234 172.217.1.106 142.250.191.106 142.251.32.10 142.250.191.170 142.250.190.106 142.250.190.74,248,300
cookielaw.org.,104.18.86.42 104.18.87.42,104.18.86.42 104.18.87.42,171,300
aliyuncs.com.,106.15.148.44,106.15.148.44,171,300
33across.com.,151.101.194.159,151.101.194.159,60,60
pinterest.com.,151.101.192.84 151.101.0.84 151.101.128.84 151.101.64.84,151.101.0.84 151.101.64.84 151.101.128.84 151.101.192.84,471,138
sharethrough.com.,198.202.211.1,198.202.211.1,171,300
amplitude.com.,76.223.69.48 13.248.219.127,76.223.69.48 13.248.219.127,171,131
trustarc.com.,141.193.213.21 141.193.213.20,141.193.213.20 141.193.213.21,171,41
digitalassetlinks.googleapis.com.,142.250.191.170 142.251.32.10 142.251.34.234 142.250.191.234 172.217.4.202 142.250.190.42 142.250.190.10 172.217.4.74 142.250.191.138 142.250.191.202 172.217.2.42 142.250.191.106 172.217.1.106 142.250.190.74 142.250.190.106 142.250.190.138,142.250.190.42 142.251.34.234 142.250.191.138 142.250.191.234 172.217.2.42 142.251.32.10 142.250.190.106 142.250.191.202 142.250.190.74 142.250.190.138 142.250.191.106 172.217.1.106 142.250.190.10 142.250.191.170 172.217.4.74,172,300
edgesuite.net.,,,-1,-1
qualtrics.com.,50.17.152.14 23.21.43.10,23.21.43.10 50.17.152.14,70246,15535
lijit.com.,13.249.141.29 13.249.141.9 13.249.141.30 13.249.141.24,13.226.251.120 13.226.251.48 13.226.251.80 13.226.251.20,35,60
ttdns2.com.,,,-1,-1
semanticlocation-pa.googleapis.com.,172.217.4.42 142.250.190.42 172.217.1.106 142.250.190.106 142.250.191.138 142.250.190.10 142.250.190.74 172.217.2.42 142.250.190.138 142.250.191.170 142.250.191.106 172.217.4.74 142.250.191.234 142.250.191.202 142.251.34.234 142.251.32.10,142.250.190.42 142.250.190.106 172.217.2.42 142.250.190.10 172.217.1.106 172.217.4.74 142.250.191.106 142.250.190.74 142.251.32.10 142.250.191.202 142.251.34.234 142.250.190.138 142.250.191.234 172.217.4.42 142.250.191.170 142.250.191.138,171,300
stackadapt.com.,34.204.55.14,34.204.55.14,171,300
federatedcompute-pa.googleapis.com.,142.250.191.106 142.250.190.138 142.250.190.106 172.217.4.42 172.217.4.202 142.251.34.234 142.250.191.234 142.250.191.170 142.250.191.138 142.250.190.10 142.250.190.42 142.250.191.202 142.250.190.74 172.217.4.74 172.217.2.42 142.251.32.10,142.251.32.10 142.250.190.74 142.250.191.138 172.217.1.106 172.217.4.42 172.217.4.74 142.251.34.234 142.250.190.10 142.250.191.106 142.250.190.42 142.250.190.106 142.250.191.170 142.250.191.202 142.250.191.234 172.217.4.202 142.250.190.138,172,300
samsungosp.com.,,,-1,-1
onenote.net.,20.236.44.162 20.76.201.171 20.112.250.133 20.70.246.20 20.231.239.246,20.70.246.20 20.112.250.133 20.76.201.171 20.236.44.162 20.231.239.246,3472,3427
androidplatformbackuprestore-pa.googleapis.com.,142.250.190.74 142.251.32.10 142.250.191.234 172.217.2.42 142.250.191.170 142.251.34.234 172.217.5.10 142.250.190.10 172.217.4.42 142.250.191.138 172.217.1.106 142.250.191.202 142.250.191.106 142.250.190.106 142.250.190.42 142.250.190.138,172.217.4.74 142.251.32.10 142.250.190.42 142.250.190.106 142.251.34.234 172.217.1.106 142.250.191.234 142.250.191.106 142.250.190.74 142.250.190.138 172.217.2.42 142.250.191.202 142.250.191.170 142.250.190.10 172.217.4.42 172.217.5.10,172,300
smaato.net.,,,-1,-1
pubsub.googleapis.com.,142.250.191.202 142.250.190.74 172.217.4.42 142.250.190.10 172.217.4.202 142.251.32.10 172.217.5.10 142.250.191.106 172.217.2.42 172.217.4.74 142.250.190.42 142.251.34.234 142.250.191.138 142.250.191.234 142.250.191.170 172.217.1.106,172.217.4.202 172.217.5.10 142.250.190.106 142.250.190.10 142.250.191.234 172.217.2.42 142.250.191.138 142.250.190.138 142.250.190.74 142.250.191.106 172.217.4.42 142.251.34.234 142.250.190.42 142.250.191.170 172.217.4.74 172.217.1.106,300,300
snapchat.com.,34.149.46.130,34.149.46.130,60,51
restrictedapps-pa.googleapis.com.,172.217.4.74 172.217.1.106 142.250.191.234 142.250.191.202 142.250.190.74 142.250.191.170 142.251.32.10 142.250.191.106 142.250.191.138 142.251.34.234 172.217.2.42 142.250.190.138 142.250.190.42 172.217.5.10 142.250.190.10 142.250.190.106,142.250.190.42 172.217.4.74 172.217.4.202 142.250.190.106 172.217.1.106 172.217.4.42 142.250.191.234 142.250.191.202 142.250.191.138 142.250.191.170 172.217.2.42 142.251.34.234 142.250.190.138 142.250.190.74 142.250.190.10 142.251.32.10,300,300
force.com.,23.1.106.133 184.31.10.133 23.1.35.132 184.31.3.130 104.109.10.129 104.109.11.129 23.1.99.130 184.25.179.132,23.1.99.130 23.1.35.132 23.1.106.133 104.109.10.129 184.31.10.133 184.25.179.132 104.109.11.129 184.31.3.130,30,27
sc-gw.com.,,,-1,-1
newrelic.com.,151.101.2.217 151.101.130.217 151.101.66.217 151.101.194.217,151.101.130.217 151.101.194.217 151.101.2.217 151.101.66.217,1294,2416
dns.google.,8.8.4.4 8.8.8.8,8.8.4.4 8.8.8.8,773,759
xboxlive.com.,20.231.239.246 20.70.246.20 20.236.44.162 20.112.250.133 20.76.201.171,20.112.250.133 20.231.239.246 20.76.201.171 20.236.44.162 20.70.246.20,3474,677
tiktokcdn-eu.com.,,,-1,-1
shopee.com.my.,202.181.90.194,147.136.175.194,60,60
dccnet.com.cn.,,,-1,-1
vivoglobal.com.,156.59.238.20,156.59.238.20,474,600
xiaomi.net.,124.251.34.141 183.84.7.241,183.84.7.241 124.251.34.141,474,600
agkn.com.,,,-1,-1
bytefcdn-oversea.com.,,,-1,-1
t-msedge.net.,,,-1,-1
yandex.ru.,77.88.55.88 77.88.44.55 5.255.255.77,77.88.55.88 77.88.44.55 5.255.255.77,475,442
alibabadns.com.,,,-1,-1
sharepointonline.com.,65.55.93.60,65.55.93.60,3474,2069
adobedc.net.,,,-1,-1
translate.googleapis.com.,172.217.2.42,172.217.2.42,175,300
snapkit.com.,216.239.36.21 216.239.32.21 216.239.34.21 216.239.38.21,216.239.36.21 216.239.38.21 216.239.34.21 216.239.32.21,175,300
dotomi.com.,159.127.43.8 159.127.40.136,159.127.40.136 159.127.43.8,175,300
voledevice-pa.googleapis.com.,142.250.190.42 142.250.190.10 142.250.190.138 142.251.32.10 142.250.191.234 142.250.190.74 142.250.191.138 172.217.2.42 142.250.191.202 142.250.190.106 142.250.191.106 172.217.4.74 172.217.4.42 142.250.191.170 172.217.1.106 142.251.34.234,142.250.191.106 172.217.2.42 142.250.190.106 142.251.34.234 142.250.190.42 142.250.191.138 172.217.4.74 172.217.1.106 142.250.190.74 142.250.191.234 172.217.5.10 142.251.32.10 142.250.190.138 142.250.191.170 172.217.4.42 142.250.190.10,175,300
phonedeviceverification-pa.googleapis.com.,142.250.190.106 142.250.191.234 142.250.191.202 142.250.191.170 142.250.190.138 172.217.4.74 172.217.4.42 172.217.2.42 142.250.190.10 142.251.32.10 142.250.190.42 172.217.1.106 142.250.191.138 142.250.191.106 142.250.190.74 142.251.34.234,172.217.1.106 172.217.2.42 142.250.190.10 142.250.191.202 142.250.191.106 142.250.190.42 142.250.190.74 172.217.4.74 172.217.4.42 142.250.191.138 142.250.190.106 142.251.32.10 142.250.191.234 142.251.34.234 142.250.190.138 142.250.191.170,72,300
ajax.googleapis.com.,142.250.190.10,142.251.34.234,53,300
meta.app.,34.202.175.143,34.202.175.143,476,600
translate-pa.googleapis.com.,142.250.191.106 142.250.190.74 142.250.191.138 142.250.190.42 142.251.34.234 172.217.4.74 142.250.190.10 142.250.191.234 142.250.191.202 172.217.4.42 172.217.1.106 172.217.2.42 142.251.32.10 142.250.190.138 142.250.191.170 172.217.5.10,142.251.34.234 172.217.2.42 142.251.32.10 142.250.191.138 142.250.191.170 142.250.191.106 142.250.191.202 142.250.190.106 142.250.190.138 142.250.190.42 142.250.191.234 172.217.5.10 142.250.190.74 172.217.4.74 172.217.1.106 142.250.190.10,154,300
braze.com.,104.17.228.60 104.17.227.60,104.17.228.60 104.17.227.60,176,300
cloudflare-dns.com.,104.16.248.249 104.16.249.249,104.16.248.249 104.16.249.249,153,300
messenger.com.,157.240.26.18,157.240.26.18,60,60
salesforce.com.,23.1.35.132 104.109.11.129 184.31.10.133 184.31.3.130 23.1.106.133 23.1.99.130 104.109.10.129 184.25.179.132,104.109.10.129 23.1.106.133 184.31.3.130 23.1.35.132 23.1.99.130 184.31.10.133 104.109.11.129 184.25.179.132,120,8
onetag-sys.com.,51.222.39.185 51.222.39.186 51.222.239.230 51.222.39.187 51.222.239.232 51.222.39.184,51.222.39.186 51.222.39.185 51.222.239.232 51.222.239.230 51.222.39.184 51.222.39.187,251,118
bidr.io.,,,-1,-1
microsoftonline.us.,,,-1,-1
pay-users-pa.googleapis.com.,192.178.214.92,142.251.166.92,176,300
zemanta.com.,23.11.19.110,23.204.51.107,8,20
mi.com.,161.117.97.92 161.117.94.231,161.117.94.231 161.117.97.92,477,600
jquery.com.,104.18.155.119 104.18.156.119,104.18.156.119 104.18.155.119,177,300
fbpigeon.com.,,,-1,-1
turn.com.,,,-1,-1
onetrust.com.,104.18.32.137 172.64.155.119,172.64.155.119 104.18.32.137,177,300
mixpanel.com.,34.117.152.135,34.117.152.135,177,170
reddit.com.,151.101.193.140 151.101.129.140 151.101.1.140 151.101.65.140,151.101.193.140 151.101.129.140 151.101.1.140 151.101.65.140,177,118
securitydomain-pa.googleapis.com.,142.250.191.202 172.217.5.10 142.250.191.234 172.217.1.106 172.217.2.42 142.250.190.74 142.251.34.234 142.250.190.138 142.250.191.138 142.250.190.106 142.250.190.42 142.250.191.106 142.251.32.10 142.250.190.10 142.250.191.170 172.217.4.42,172.217.5.10 142.250.191.234 172.217.4.74 142.250.191.170 142.250.190.106 142.250.191.202 142.250.190.10 142.251.32.10 172.217.2.42 142.250.191.138 142.250.191.106 142.251.34.234 142.250.190.138 172.217.4.42 142.250.190.42 142.250.190.74,300,300
zoom.us.,170.114.52.2,170.114.52.2,60,60
lamssettings-pa.googleapis.com.,142.250.190.106 142.250.191.106 142.250.191.234 142.250.190.10 142.250.190.42 142.250.191.138 142.250.190.74 172.217.4.74 142.250.191.202 172.217.1.106 142.250.191.170 172.217.4.42 172.217.4.202 142.250.190.138 142.251.34.234 142.251.32.10,142.250.190.10 142.250.190.42 142.250.191.138 142.251.34.234 172.217.1.106 142.250.191.202 142.251.32.10 142.250.190.74 142.250.191.234 142.250.191.170 172.217.4.74 142.250.190.138 142.250.190.106 142.250.191.106 172.217.2.42,178,300
atlassian.com.,52.84.127.19 52.84.127.90 52.84.127.74 52.84.127.98,52.84.127.90 52.84.127.98 52.84.127.19 52.84.127.74,60,60
inner-active.mobi.,54.225.119.21 62.219.50.32,62.219.50.32 54.225.119.21,3478,3600
stickyadstv.com.,51.255.169.33,51.255.169.33,177,177
qlivecdn.com.,,,-1,-1
xboxservices.com.,,,-1,-1
tiktokcdn-us.com.,,,-1,-1
growth-pa.googleapis.com.,142.250.190.10 142.250.190.74 142.250.191.106 142.251.34.234 142.250.190.42 142.250.190.106 172.217.4.42 142.250.191.234 142.250.191.170 142.250.191.138 142.250.190.138 172.217.5.10 142.251.32.10 172.217.4.74 142.250.191.202 172.217.1.106,172.217.1.106 142.251.32.10 142.250.190.10 142.250.190.138 142.250.191.138 172.217.4.42 142.250.190.42 142.250.191.234 142.250.190.74 172.217.4.74 142.250.191.170 142.250.191.202 142.250.190.106 142.251.34.234 142.250.191.106,118,300
a-mo.net.,18.160.102.9 18.160.102.5 18.160.102.128 18.160.102.64,18.160.102.9 18.160.102.128 18.160.102.64 18.160.102.5,60,60
ncca.mil.,,,-1,-1
samsungdm.com.,,,-1,-1
pinimg.com.,151.101.128.84 151.101.192.84 151.101.0.84 151.101.64.84,151.101.64.84 151.101.0.84 151.101.128.84 151.101.192.84,479,122
a2z.com.,,,-1,-1
yieldmo.com.,35.212.43.67,35.212.43.67,179,179
t.co.,172.66.0.227,162.159.140.229 172.66.0.227,37,84
fwmrm.net.,13.248.238.180 99.83.195.29,13.248.238.180 99.83.195.29,3479,3279
appier.net.,35.241.60.58,35.241.60.58,179,300
lazada.com.,47.246.165.110 47.246.167.7 47.246.165.39 47.246.167.10 47.246.167.114 47.246.167.254 47.246.165.182 47.246.165.111,47.246.167.7 47.246.165.111 47.246.165.110 47.246.167.114 47.246.167.254 47.246.165.182 47.246.165.39 47.246.167.10,179,300
unrulymedia.com.,52.84.127.116 52.84.127.17 52.84.127.48 52.84.127.80,52.84.127.48 52.84.127.17 52.84.127.116 52.84.127.80,60,60
line.me.,147.92.243.206,147.92.243.206,180,140
adsmoloco.com.,198.185.159.144,198.185.159.144,14280,12344
nist.gov.,172.65.90.26 172.65.90.27 172.65.90.25 172.65.90.24,172.65.90.26 172.65.90.27 172.65.90.25 172.65.90.24,180,300
hotjar.com.,99.84.203.110 99.84.203.128 99.84.203.76 99.84.203.6,99.84.203.76 99.84.203.128 99.84.203.110 99.84.203.6,60,60
mobilemaps.googleapis.com.,216.239.38.135,216.239.38.135,341,3600
indexww.com.,104.18.24.18 104.18.25.18,104.18.24.18 104.18.25.18,180,49
addons-pa.googleapis.com.,142.251.32.10 142.250.190.10 142.250.190.74 142.250.191.170 142.250.191.202 142.250.190.42 172.217.5.10 142.250.190.138 172.217.1.106 172.217.4.74 142.250.191.138 172.217.4.42 142.250.191.106 142.250.190.106 172.217.2.42 142.250.191.234,142.250.190.106 142.250.190.138 172.217.1.106 172.217.4.202 172.217.4.74 172.217.5.10 172.217.4.42 142.250.191.138 142.250.191.106 172.217.2.42 142.251.32.10 142.250.190.74 142.250.191.234 142.250.190.10 142.250.191.202 142.250.190.42,191,300
admanmedia.com.,23.50.186.25,23.50.186.25,180,88
yammer.com.,13.107.6.159,13.107.6.159,1680,1279
